family,group,seed,phi,z_contact,N,E,d_cv,ov_med,frac_type2,G_eff,err_I1,lift,eta_g,eta_far,eta_rnd,rho_g,jaccard_g,share_gap,share_contact,share_bond,top20_share,H,frac_sat,engine_version,engine_variant,baseline_fp
coat_mix,non-uniform treatment,0,0.6000000000000005,5.506666666666667,900,3482,0.0,0.015469925188362054,0.3,0.0007107907768419901,3.3306690738754696e-16,7.914657750392715,0.19275894832596513,0.04788096444136891,0.12634785123214978,0.37837991774551716,0.0,0.0792616979061851,0.920738302093815,0.0,0.054787101839448904,7.324570784961562,0.0,v4,holm,014d59a0d7b143ba
coat_mix,non-uniform treatment,1,0.6000000000000005,5.615555555555556,900,3501,0.0,0.015697283681026873,0.3,0.0007291978193133765,1.3322676295501878e-15,8.565767842465508,0.21338393567078343,0.045925459620035636,0.11674376639563082,0.36299196632754976,0.02564102564102564,0.0756476909172072,0.9243523090827928,0.0,0.05159581758389449,7.341805015659023,0.0,v4,holm,014d59a0d7b143ba
coat_mix,non-uniform treatment,2,0.6000000000000005,5.562222222222222,900,3508,0.0,0.015427992946502656,0.3,0.0006997469056486693,1.7763568394002505e-15,8.711853884416543,0.2291274357110557,0.0338579044504791,0.11478613085887089,0.3829193656886348,0.02564102564102564,0.0851011219078713,0.9148988780921287,0.0,0.05586192435401578,7.3404261722488595,0.0,v4,holm,014d59a0d7b143ba
strat_025,segregation strength,0,0.6000000000000005,5.402222222222222,900,3476,0.0,0.014512671413231893,0.0,0.0010462191259882627,2.220446049250313e-15,9.543464115491062,2.0782807661486705e-07,0.03620058913667003,0.10478375439970358,0.2296062844136067,0.0,0.07702688228894473,0.9229731177110552,0.0,0.05881363928843508,7.2994931929094555,0.0,v4,holm,014d59a0d7b143ba
strat_025,segregation strength,1,0.6000000000000005,5.46,900,3455,0.0,0.015401857375526084,0.0,0.0010761256116021201,1.5543122344752192e-15,7.772021639724298,1.1299340057301881e-06,0.03771167131512085,0.12866665152973938,0.24291938361697302,0.0,0.061260535370977885,0.938739464629022,0.0,0.051641368275392695,7.338202628186343,0.0,v4,holm,014d59a0d7b143ba
strat_025,segregation strength,2,0.6000000000000005,5.522222222222222,900,3486,0.0,0.015588749280485103,0.0,0.0009917626744747774,1.7763568394002505e-15,8.14683155469364,4.463233764286137e-07,0.038876768639007984,0.12274710644089228,0.11468765282077811,0.0,0.07041485068606776,0.9295851493139323,0.0,0.05657781137632756,7.290250309298866,0.0,v4,holm,014d59a0d7b143ba
strat_055,segregation strength,0,0.6000000000000005,5.344444444444444,900,3377,0.0,0.01742189850668314,0.0,0.0007844404224588571,1.9984014443252818e-15,17.4216885764409,1.0778199162575271e-07,0.03447498059433086,0.057399717347277446,-0.06443668178857173,0.0,0.08569653031616872,0.9143034696838314,0.0,0.12401403068311599,6.920746639922078,0.0,v4,holm,014d59a0d7b143ba
strat_055,segregation strength,1,0.6000000000000005,5.448888888888889,900,3460,0.0,0.01774674551391957,0.0,0.0007005647887816979,1.9984014443252818e-15,17.529675806252108,3.392985603573693e-08,0.017750577465228772,0.05704612059301984,-0.0980871384864579,0.0,0.10256218433380432,0.8974378156661956,0.0,0.1142708186440326,6.8637233879708095,0.0,v4,holm,014d59a0d7b143ba
strat_055,segregation strength,2,0.6000000000000005,5.315555555555555,900,3327,0.0,0.016222674929297833,0.0,0.0007434695806362601,2.886579864025407e-15,16.88244721540825,1.580506395405686e-08,0.01159335586833699,0.059233118708484474,-0.09794736677041413,0.0,0.0956754833896955,0.9043245166103046,0.0,0.106443041816193,6.907275239406466,0.0,v4,holm,014d59a0d7b143ba
strat_100,segregation strength,0,0.6000000000000005,5.808888888888889,900,3607,0.0,0.023058987854515413,0.0,0.00043173778086927806,1.2212453270876722e-15,33.0545951650023,5.1962964038165105e-09,0.013078602022002634,0.03025297980532476,-0.2614737792864783,0.0,0.1482350320975406,0.8517649679024594,0.0,0.2130789559166452,6.213625177441017,0.0,v4,holm,014d59a0d7b143ba
