step,label,filler,matrix,treat,alpha,a_K_um,d_um,phi,phi_source,n_particle,n_edge,edge_per_particle,n_isolated,R_median,R_p05,R_p95,R_decades,n_gap,frac_gap,n_contact,frac_contact,n_bond,frac_bond,z_contact,h_median_um,h_p05_um,h_p95_um,rt_median_um,twoaK_over_h,gain_interface,gain_matrix,gain_filler,G_eff,box_source,k_eff,slab_L_um,slab_A_um2,share_gap,share_contact,share_bond,cum_top1pct,cum_top5pct,n_for_half,frac_for_half,Reff_median,Reff_max,Reff_p95_over_p50,g_star,theta_star,g_allconn,theta_allconn,n_bars,bar_max,bar_zero_frac,ret10_mean,ret10_std,ret10_p05,gain_top_pct,gain_rand_pct,gain_ratio,d_B,dlog_g_inf,compress,engine_version,engine_variant,baseline_fp,q24_schema_version,persistence_tau,family,n_target,seed,d_min_um,d_max_um,size_ratio,kappa_filler,k_matrix,R_s_contact,R_s_matrix
0,AlN/epoxy/untreated,AlN,epoxy,untreated,850.0,0.0222,5.0,0.7000000000000004,generator,2000,6141,3.0705,1,182546.39682788905,16054.125156162569,867290.182018361,1.7325777857109146,2519,0.410193779514737,3622,0.589806220485263,0,0.0,3.622,0.1892022832894753,0.0055030867130256,0.6159681107774833,0.7931763185685631,0.23466947241894,2.2911004445450254,2.2520093762715336,2.0639239013774016,0.0010942809400228,bbox,20.25994433483343,54.01204080020313,2917.300551402808,0.0594751409500896,0.9405248590499105,0.0,0.5453717873905383,0.8607325268227476,49,0.0079791564891711,21286.492564656644,1831501.9327076129,6.339627016005488,0.0001745235960426,3.758145846995221,,,1505,0.6251146235465956,0.92890365448505,0.860280754721072,0.0450254008176809,0.80027557365291,77.32782511878227,0.7890799703876007,97.99745022142484,0.4274145008965213,0.5267438592236984,2.4679927012645324,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,2,3.1727052742742523,15.86352637137126,5.0,170.0,0.2,1e-08,1.11e-07
0,AlN/epoxy/treated,AlN,epoxy,treated,850.0,0.0076,5.0,0.7000000000000004,generator,2000,6141,3.0705,1,75498.03390963897,7443.097880479237,825795.7229691815,2.0451188989897107,2519,0.410193779514737,3622,0.589806220485263,0,0.0,3.622,0.1892022832894753,0.0055030867130256,0.6159681107774833,0.7931763185685631,0.0803372968641416,1.3767570720146052,2.807695045494074,5.78157414013992,0.0018210239112662,bbox,33.71514729470148,54.01204080020313,2917.300551402808,0.0407349286038924,0.9592650713961076,0.0,0.535667965737926,0.8368995939683272,51,0.008304836345872,9005.203497189206,1592957.8392951137,9.785559384069163,0.00029982191201,3.5231366306027887,,,1505,0.8232257539721686,0.9255813953488372,0.862059218743289,0.0405423662693343,0.8150069943613553,94.23196523832593,0.683816448014779,137.80301060598254,0.2694509939630185,0.4407565244122389,2.9494742062720145,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,2,3.1727052742742523,15.86352637137126,5.0,170.0,0.2,2e-09,3.8e-08
0,SiO2/epoxy/untreated,SiO2,epoxy,untreated,6.999999999999999,0.0222,25.0,0.7000000000000006,generator,2000,6289,3.1445,5,106882.67470046302,55714.39542897241,228040.66371276436,0.6120448741082265,2624,0.4172364445857847,3665,0.5827635554142153,0,0.0,3.665,0.9237924017004469,0.0360791636894201,2.944359936986348,3.965881592842815,0.0480627958340315,1.019740976400482,2.1579871691221064,97.80598329893378,0.0003805862403178,bbox,1.4092644331868736,270.0602040010156,72932.51378507017,0.3543540255166603,0.6456459744833397,0.0,0.2855724767060706,0.5306729811003714,270,0.0429321036730799,21023.146678553807,472329.1155874427,2.817796376925816,1.995323212903888e-05,4.699986744984188,,,1509,0.4593018606356921,0.9688535453943008,0.8730610749708914,0.0156714611119139,0.8512959743700222,62.67796226157165,1.425833151681738,43.9588336038087,0.0358701860732062,0.0571844430904283,22.73345563485251,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,0,15.86352637137126,79.3176318568563,5.0,1.4,0.2,1e-08,1.11e-07
0,SiO2/epoxy/treated,SiO2,epoxy,treated,6.999999999999999,0.0076,25.0,0.7000000000000006,generator,2000,6289,3.1445,5,103907.606790259,54820.19102787351,226383.32688673495,0.6159038933814045,2624,0.4172364445857847,3665,0.5827635554142153,0,0.0,3.665,0.9237924017004469,0.0360791636894201,2.944359936986348,3.965881592842815,0.0164539301053441,1.0070662431588593,2.1663476178861982,466.2974331332028,0.0003853762222124,bbox,1.427001151976615,270.0602040010156,72932.51378507017,0.3534601971973414,0.6465398028026585,0.0,0.2845498901101618,0.5291969623066236,272,0.0432501192558435,20628.555471806947,466600.119294606,2.8105120784284026,2.0279129750761462e-05,4.692950686052288,,,1509,0.454632375287588,0.9681908548707754,0.873042999653825,0.0156033486284116,0.851349538300026,62.69824610175914,1.4245359331983076,44.01310254139515,0.0259047214761238,0.0259047214761233,50.18390184963855,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,0,15.86352637137126,79.3176318568563,5.0,1.4,0.2,2e-09,3.8e-08
0,AlN/epoxy/untreated,AlN,epoxy,untreated,850.0,0.0222,25.0,0.7000000000000006,generator,2000,6289,3.1445,5,13705.06461292166,1423.6171819765918,166483.78936708783,2.067978731402364,2624,0.4172364445857847,3665,0.5827635554142153,0,0.0,3.665,0.9237924017004469,0.036079163689420136,2.944359936986348,3.965881592842815,0.04806279583403157,1.4396188526052542,3.9131628614792087,4.445000459157343,0.008378912161125313,bbox,31.02608987547755,270.0602040010156,72932.51378507017,0.048874380840172954,0.9511256191598271,0.0,0.48773003525956043,0.8300182678684791,66,0.010494514231197329,1384.3215767819256,280526.12275070813,11.676366547549549,0.001082454174608988,2.9655904803193622,,,1509,0.8249434975720935,0.927766732935719,0.859039078542955,0.02611076371309469,0.815206437053353,77.93114980635461,1.2444925238704319,62.62082600864886,0.26771298770934404,0.4267940290218648,3.045965762406204,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,0,15.86352637137126,79.3176318568563,5.0,170.0,0.2,1e-08,1.11e-07
0,AlN/epoxy/treated,AlN,epoxy,treated,850.0,0.0076,25.0,0.7000000000000006,generator,2000,6289,3.1445,5,6575.17708907059,1088.0055971688594,164815.5420784862,2.1803670336247825,2624,0.4172364445857847,3665,0.5827635554142153,0,0.0,3.665,0.9237924017004469,0.036079163689420136,2.944359936986348,3.965881592842815,0.01645393010534414,1.1337957805302368,5.193361767940171,16.937971544157744,0.010638988183425988,bbox,39.39487575661454,270.0602040010156,72932.51378507017,0.03926402137865163,0.9607359786213484,0.0,0.4636320747630844,0.8059993692804209,73,0.011607568770869773,905.7603818182124,271884.01015234896,12.709039883035754,0.001305472657664231,2.8842322197812122,,,1509,1.0614447100529087,0.927766732935719,0.858836620921171,0.026198666653673788,0.8148525112866539,76.97982957703056,1.2153035190436723,63.34206095083665,0.25659431861673543,0.32091136637095985,4.050962777358454,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,0,15.86352637137126,79.3176318568563,5.0,170.0,0.2,2e-09,3.8e-08
0,SiO2/epoxy/untreated,SiO2,epoxy,untreated,6.999999999999999,0.0222,25.0,0.7000000000000006,generator,2000,6201,3.1005,4,106748.41524076015,54529.467212462325,228484.70654390063,0.6222258818218097,2598,0.4189646831156265,3603,0.5810353168843735,0,0.0,3.603,1.0058289974996502,0.02922489378260984,3.1903542846611956,3.965881592842815,0.044142695197157765,1.0198791669737401,2.229560561566276,90.31550689608218,0.00038621814050331473,bbox,1.4301186727307007,270.0602040010156,72932.51378507017,0.4065065325534105,0.5934934674465895,0.0,0.26598172648345864,0.5071207083795763,300,0.04837929366231253,22487.075558914545,558151.7192106331,2.484497391741712,1.9969190966611778e-05,4.699639529814003,,,1516,0.4081895935808908,0.9643799472295514,0.8809893670735978,0.011703505230650424,0.867816259662518,54.653646065788244,1.0852396110460327,50.36090233852512,0.057102382762135306,0.057191447387409305,22.730671444524326,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,1,15.86352637137126,79.3176318568563,5.0,1.4,0.2,1e-08,1.11e-07
0,SiO2/epoxy/treated,SiO2,epoxy,treated,6.999999999999999,0.0076,25.0,0.7000000000000006,generator,2000,6201,3.1005,4,103766.45971240845,53662.3568614844,226828.35162038053,0.626027593685286,2598,0.4189646831156265,3603,0.5810353168843735,0,0.0,3.603,1.0058289974996502,0.02922489378260984,3.1903542846611956,3.965881592842815,0.015111913671099054,1.0071207819484789,2.2390850176916404,428.29027801416316,0.0003911108205359404,bbox,1.4482356702006696,270.0602040010156,72932.51378507017,0.40567044159310733,0.5943295584068927,0.0,0.26496830428104284,0.5055875970848567,302,0.048701822286727946,22050.192495163537,547269.6028792586,2.494851114622889,2.0295498520458405e-05,4.692600276594778,,,1516,0.4015112431657383,0.9617414248021108,0.880955893721526,0.011664592456139109,0.8679183441563848,54.683921291462866,1.0842524414103638,50.434676651805944,0.025904721476123882,0.02590472147612339,50.18390184963855,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,1,15.86352637137126,79.3176318568563,5.0,1.4,0.2,2e-09,3.8e-08
0,AlN/epoxy/untreated,AlN,epoxy,untreated,850.0,0.0222,25.0,0.7000000000000006,generator,2000,6201,3.1005,4,13602.294324913646,1324.930585285701,166930.6979555531,2.1003430835621932,2598,0.4189646831156265,3603,0.5810353168843735,0,0.0,3.603,1.0058289974996502,0.02922489378260984,3.1903542846611956,3.965881592842815,0.044142695197157765,1.435665305688266,4.511630597900814,4.603318014345549,0.007582306089742189,bbox,28.076354743898786,270.0602040010156,72932.51378507017,0.06507582469569026,0.9349241753043098,0.0,0.5546258644525239,0.8011828630553213,50,0.008063215610385421,1527.480900808843,303874.5257138883,8.514860145434312,0.0010846983082982507,2.964691037170854,,,1516,0.8552287721306318,0.9155672823218998,0.8677873481862244,0.029331218588147235,0.8163064280372728,103.87702927675355,1.2634441179978262,82.21735160029633,0.25300283883910124,0.4267940241313732,3.0459657973089187,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,1,15.86352637137126,79.3176318568563,5.0,170.0,0.2,1e-08,1.11e-07
0,AlN/epoxy/treated,AlN,epoxy,treated,850.0,0.0076,25.0,0.7000000000000006,generator,2000,6201,3.1005,4,6593.921048562359,1028.4061144772884,165263.53141202356,2.2060123785702506,2598,0.4189646831156265,3603,0.5810353168843735,0,0.0,3.603,1.0058289974996502,0.02922489378260984,3.1903542846611956,3.965881592842815,0.015111913671099054,1.1329983902531882,6.018952296908441,17.490685247974373,0.009607828116789409,bbox,35.576615785838904,270.0602040010156,72932.51378507017,0.05407689941903843,0.9459231005809615,0.0,0.523007603310806,0.7751101487564569,56,0.009030801483631673,1006.635254382684,279163.1168099312,8.92262233116018,0.0013077845633325121,2.883463793215092,,,1516,0.9747724730558879,0.9155672823218998,0.8665850948605904,0.027393595673623216,0.81735067272516,91.06204882741234,1.1585275533847395,78.60153913592008,0.24007112681781528,0.32091129890450026,4.050963629008482,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,1,15.86352637137126,79.3176318568563,5.0,170.0,0.2,2e-09,3.8e-08
0,SiO2/epoxy/untreated,SiO2,epoxy,untreated,6.999999999999999,0.0222,25.0,0.7000000000000006,generator,2000,6141,3.0705,1,107405.54211767968,56381.320262857225,224927.72736441277,0.600907753841291,2518,0.4100309395863866,3623,0.5899690604136134,0,0.0,3.623,0.9460568201787138,0.027527669811047685,3.0799338313876525,3.965881592842815,0.04693164211182397,1.0196840299663879,2.1777730492945864,137.69577514615364,0.0003827971916346877,bbox,1.4174513162748261,270.0602040010156,72932.51378507017,0.34870316060324386,0.6512968393967562,0.0,0.296576118011769,0.5067842548005812,297,0.04836345872007816,23035.21715275792,591504.4930788146,2.7295178708769448,2.1976533524614497e-05,4.658040810086246,,,1505,0.4082526384205145,0.9641196013289036,0.8764546699603976,0.014916708878822151,0.8566881971801896,66.70596268181679,0.8006316545719172,83.31666915853236,0.057102382762135306,0.057194130385526405,22.729605140197727,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,2,15.86352637137126,79.3176318568563,5.0,1.4,0.2,1e-08,1.11e-07
0,SiO2/epoxy/treated,SiO2,epoxy,treated,6.999999999999999,0.0076,25.0,0.7000000000000006,generator,2000,6141,3.0705,1,104415.24033494137,55469.71804778071,223263.2729572742,0.6047613286804497,2518,0.4100309395863866,3623,0.5899690604136134,0,0.0,3.623,0.9460568201787138,0.027527669811047685,3.0799338313876525,3.965881592842815,0.016066688290534332,1.007046694096248,2.188243041645228,663.9466467419579,0.00038760087820572124,bbox,1.4352387818097905,270.0602040010156,72932.51378507017,0.3479847051864312,0.6520152948135687,0.0,0.2951639247403932,0.5054338074001786,299,0.04868913857677903,22578.445139463318,583671.8528150913,2.7180718670503023,2.238065180032219e-05,4.650127269498412,,,1505,0.4016293735110834,0.9627906976744186,0.8763993350240481,0.014861894041008331,0.8567551518568604,66.65137511151616,0.8010878551231272,83.20108048732288,0.025904721476123882,0.02590472147612339,50.18390184963855,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,2,15.86352637137126,79.3176318568563,5.0,1.4,0.2,2e-09,3.8e-08
0,AlN/epoxy/untreated,AlN,epoxy,untreated,850.0,0.0222,25.0,0.7000000000000006,generator,2000,6141,3.0705,1,14567.584412400312,1481.9530901621874,163350.06949261724,2.0422848668940667,2518,0.4100309395863866,3623,0.5899690604136134,0,0.0,3.623,0.9460568201787138,0.027527669811047685,3.0799338313876525,3.965881592842815,0.04693164211182397,1.3761081836181133,3.664227195035224,5.760466355143481,0.009157364560541425,bbox,33.90860417370857,270.0602040010156,72932.51378507017,0.04130994265931603,0.9586900573406841,0.0,0.5343660411603464,0.8352334578571979,51,0.008304836345872008,1775.714775802104,314260.6741595796,9.466025692763726,0.0015017323360941655,2.8234074676755623,,,1505,0.7856996011865919,0.9269102990033222,0.862174944984236,0.04042567058442567,0.8152319262326434,94.22520832116257,0.6846985606909473,137.61560740843015,0.2641583655024302,0.42679403075225275,3.045965750056682,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,2,15.86352637137126,79.3176318568563,5.0,170.0,0.2,1e-08,1.11e-07
0,AlN/epoxy/treated,AlN,epoxy,treated,850.0,0.0076,25.0,0.7000000000000006,generator,2000,6141,3.0705,1,6973.081823023056,1124.1494384608989,161673.97608926057,2.1578160712872925,2518,0.4100309395863866,3623,0.5899690604136134,0,0.0,3.623,0.9460568201787138,0.027527669811047685,3.0799338313876525,3.965881592842815,0.016066688290534332,1.117515401282143,4.963753102668657,22.911285428571546,0.011276376412958259,bbox,41.755046637363314,270.0602040010156,72932.51378507017,0.03581368724022698,0.964186312759773,0.0,0.5088913778468793,0.8034104104445817,58,0.009444715844325028,1117.75472919329,301881.74630610144,10.115488241685112,0.0017568155634448788,2.75527382984368,,,1505,0.8143809601113341,0.9275747508305647,0.8631178180324207,0.03710374683985293,0.8235984140860867,97.54792930605574,0.667184800386047,146.20826081411397,0.25150625788685055,0.32091136975988993,4.050962734578949,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,2,15.86352637137126,79.3176318568563,5.0,170.0,0.2,2e-09,3.8e-08
