family,seed,phi,N,E,G_eff,g_star,theta_star,g_allconn,theta_allconn,crit_u,crit_v,engine_version,engine_variant,baseline_fp
bimodal_5to1,1,0.7000000000000008,900,2676,0.0014679531930718607,0.0002060419236856515,3.686044404034308,,,599,885,v4,holm,014d59a0d7b143ba
bimodal_5to1,2,0.7000000000000008,900,2637,0.00127510382403139,0.0001837439342688776,3.735786988880701,,,501,565,v4,holm,014d59a0d7b143ba
poly_wide,0,0.6400000000000005,900,2645,0.0012270162521430849,0.0002090134504986825,3.6798257651358535,,,322,676,v4,holm,014d59a0d7b143ba
poly_wide,1,0.6400000000000005,900,2817,0.001320044025364576,0.0002088863188685021,3.680090003459074,,,405,676,v4,holm,014d59a0d7b143ba
poly_wide,2,0.6400000000000007,900,2851,0.0012773685093622172,0.0002176086126937422,3.662323919767312,,,66,828,v4,holm,014d59a0d7b143ba
voided,0,0.6000000000000005,900,3515,0.0011609098479906756,0.00014808915419874474,3.8294767473134907,2.807261075774482e-05,4.551717196024023,52,466,v4,holm,014d59a0d7b143ba
voided,1,0.6000000000000005,900,3536,0.0011777542481557779,0.00012884356891533489,3.889937253902257,4.462629842949985e-05,4.350409134631833,254,489,v4,holm,014d59a0d7b143ba
voided,2,0.6000000000000005,900,3478,0.0011788979754902666,0.00013111593291970954,3.882344530593154,4.605963591958976e-05,4.336679499257981,624,792,v4,holm,014d59a0d7b143ba
clustered,0,0.6000000000000005,900,3834,0.0014023586555134793,0.0001398334236232431,3.8543890091325577,5.236008201387412e-05,4.28099968186641,345,727,v4,holm,014d59a0d7b143ba
clustered,1,0.6000000000000005,900,3843,0.0014019442884892549,0.00014496295648405507,3.8387429622471627,4.794350914977849e-05,4.319270181637157,15,608,v4,holm,014d59a0d7b143ba
clustered,2,0.6000000000000005,900,3853,0.0014361995112782907,0.0001410529126890143,3.8506179414001016,3.6696540954167226e-05,4.435374870770172,200,225,v4,holm,014d59a0d7b143ba
stratified,0,0.6000000000000005,900,3397,0.0007428966089112954,9.623406430204677e-05,4.01667117203943,2.0499040163444664e-05,4.688266473650518,413,720,v4,holm,014d59a0d7b143ba
stratified,1,0.6000000000000005,900,3400,0.0008183012041822505,0.00013922262513341171,3.8562901815922794,2.219142275667148e-05,4.653814852992707,422,565,v4,holm,014d59a0d7b143ba
stratified,2,0.6000000000000005,900,3381,0.0008050032781066813,0.00010656771899420457,3.9723743298857,1.847007800946443e-05,4.7335312702875125,666,856,v4,holm,014d59a0d7b143ba
segregated,0,0.6600000000000006,900,2731,0.0003235221074147209,6.849212849236624e-05,4.164359337248624,,,773,833,v4,holm,014d59a0d7b143ba
segregated,1,0.6600000000000006,900,2846,0.00045119897836812283,0.00016487336789706132,3.78284949056193,,,642,832,v4,holm,014d59a0d7b143ba
segregated,2,0.6600000000000006,900,2796,0.0003063291666658219,5.717797063546923e-05,4.2427712627146095,,,786,879,v4,holm,014d59a0d7b143ba
fiber_z,0,0.6960000000000007,1044,4793,0.003558863513990515,0.0004048667153415181,3.392687925720328,4.4316368198516293e-05,4.353435837990187,37,1023,v4,holm,014d59a0d7b143ba
fiber_z,1,0.6960000000000007,1044,4892,0.0032577774641084473,0.0002890771726332867,3.5389862016216904,3.588337879862469e-05,4.445106670295986,711,960,v4,holm,014d59a0d7b143ba
fiber_z,2,0.6960000000000007,1044,4872,0.003926819750558912,0.0011710440342313003,2.931426774044535,4.961013223527923e-05,4.304429615354954,927,997,v4,holm,014d59a0d7b143ba
fiber_xy,0,0.6960000000000007,1044,4871,0.0016735328752777467,0.0001384100106079898,3.8588324980686632,3.167802608570284e-05,4.499241887903098,3,746,v4,holm,014d59a0d7b143ba
fiber_xy,1,0.6960000000000007,1044,4840,0.0016421392617315116,0.00020226607698503861,3.694076948734751,1.0359627864004015e-05,4.984655844929812,175,765,v4,holm,014d59a0d7b143ba
fiber_xy,2,0.6960000000000007,1044,4811,0.0016429839916080066,0.00033271500569147477,3.4779276116889046,4.938701612253868e-05,4.306387212361691,332,923,v4,holm,014d59a0d7b143ba
coat_mix,0,0.6000000000000005,900,3482,0.0007107907768419901,0.00011308795015007991,3.946583667949201,1.9981106348453312e-05,4.699380468676301,217,376,v4,holm,014d59a0d7b143ba
coat_mix,1,0.6000000000000005,900,3501,0.0007291978193133765,0.00012216656072691468,3.913047652351544,1.6751104349090606e-05,4.775956555976026,124,576,v4,holm,014d59a0d7b143ba
coat_mix,2,0.6000000000000005,900,3508,0.0006997469056486693,0.00011532692695873775,3.938069280179005,1.6904574251552156e-05,4.771995762640297,176,500,v4,holm,014d59a0d7b143ba
strat_025,0,0.6000000000000005,900,3476,0.0010462191259882627,0.0001597858932031063,3.7964615652878684,3.722164170738705e-05,4.429204475677704,452,517,v4,holm,014d59a0d7b143ba
strat_025,1,0.6000000000000005,900,3455,0.0010761256116021201,0.00012475259113522692,3.903950425231271,2.1855721446439522e-05,4.660434853093965,253,568,v4,holm,014d59a0d7b143ba
strat_025,2,0.6000000000000005,900,3486,0.0009917626744747774,0.00011413001268336896,3.9426001344704065,1.6557822218687996e-05,4.78099678473727,72,690,v4,holm,014d59a0d7b143ba
strat_055,0,0.6000000000000005,900,3377,0.0007844404224588571,0.00010855219238463092,3.9643614008513635,1.1809766576882443e-05,4.927758686245396,535,880,v4,holm,014d59a0d7b143ba
strat_055,1,0.6000000000000005,900,3460,0.0007005647887816979,9.957538953801108e-05,4.001847985959279,2.5261451276140155e-05,4.597541702746874,92,428,v4,holm,014d59a0d7b143ba
strat_055,2,0.6000000000000005,900,3327,0.0007434695806362601,0.00011916179910742223,3.9238629484200063,2.7063671672626614e-05,4.567613283902881,403,505,v4,holm,014d59a0d7b143ba
strat_100,0,0.6000000000000005,900,3607,0.00043173778086927806,8.901400212219698e-05,4.05054167238769,,,8,655,v4,holm,014d59a0d7b143ba
strat_100,1,0.6000000000000005,900,3509,0.0005477687449741879,9.461697482479457e-05,4.024030941701758,2.2667770444010668e-05,4.64459119409849,853,878,v4,holm,014d59a0d7b143ba
strat_100,2,0.6000000000000005,900,3556,0.00046862889153583465,7.097480167202956e-05,4.14889581236834,,,62,840,v4,holm,014d59a0d7b143ba
strat_180,0,0.6000000000000005,900,4267,0.0001369750433813574,6.614474649807521e-05,4.179504643653353,,,708,828,v4,holm,014d59a0d7b143ba
strat_180,1,0.6000000000000005,900,4290,0.00013027366481228734,4.95407122370079e-05,4.305037753939548,,,580,800,v4,holm,014d59a0d7b143ba
strat_180,2,0.6000000000000005,900,4040,0.00023559842421345584,8.713104414988659e-05,4.059827081491957,,,137,149,v4,holm,014d59a0d7b143ba
seg_000,0,0.6600000000000006,900,2979,0.0013345731958496415,0.00019944669541992912,3.70017315500608,6.912043083562084e-06,5.16039356351311,410,757,v4,holm,014d59a0d7b143ba
seg_000,1,0.6600000000000006,900,2968,0.0013154750312257821,0.00016323143587212914,3.7871961990681187,1.0339288215634332e-05,4.985509358211374,476,715,v4,holm,014d59a0d7b143ba
seg_000,2,0.6600000000000006,900,3001,0.0013831825571530417,0.00022756960520552727,3.6428857439158575,4.262586459980431e-06,5.370326798917548,444,606,v4,holm,014d59a0d7b143ba
seg_033,0,0.6600000000000006,900,3242,0.001025737942275666,0.0001952740219865321,3.70935552864413,,,210,662,v4,holm,014d59a0d7b143ba
seg_033,1,0.6600000000000006,900,3272,0.0011059829350874076,0.00017850558385375042,3.7483481941235404,8.859016418320741e-06,5.052614493441177,378,790,v4,holm,014d59a0d7b143ba
seg_033,2,0.6600000000000006,900,3325,0.0009538316691553684,0.00017680157012069664,3.7525138824692883,,,342,469,v4,holm,014d59a0d7b143ba
seg_067,0,0.6600000000000006,900,3230,0.00028534146112491277,0.00014466189259258278,3.839645857383943,,,317,722,v4,holm,014d59a0d7b143ba
seg_067,1,0.6600000000000006,900,3189,0.00012801768971163792,4.698079120419059e-05,4.328079673537115,,,858,898,v4,holm,014d59a0d7b143ba
seg_067,2,0.6600000000000006,900,3231,7.309077767173915e-05,5.2074114442172464e-05,4.283378106807927,,,755,789,v4,holm,014d59a0d7b143ba
seg_100,0,0.6600000000000006,900,2776,0.0002508391728845405,7.48553434312668e-05,4.12577719278406,,,765,857,v4,holm,014d59a0d7b143ba
seg_100,1,0.6600000000000006,900,2817,0.0002511065395653064,5.8514122989621555e-05,4.232739299794661,,,756,802,v4,holm,014d59a0d7b143ba
seg_100,2,0.6600000000000006,900,2660,0.00034419166099684714,0.00020778740928620328,3.682380771712377,,,38,669,v4,holm,014d59a0d7b143ba
jittered_ref,0,0.37099613617479377,1036,2524,9.663337530908377e-05,5.745084509596874e-05,4.240703578501954,7.422847430078357e-06,5.129429465886226,650,651,v4,holm,014d59a0d7b143ba
jittered_ref,1,0.3737346949842481,1039,2534,0.00010306419887841165,9.060280125420936e-05,4.042858374614154,6.994929792645296e-06,5.155216640117079,362,363,v4,holm,014d59a0d7b143ba
jittered_ref,2,0.3747704005929999,1030,2474,0.00010375465449328141,0.00010764920793167994,3.9679891613088283,8.029922894887318e-06,5.095288624893889,377,378,v4,holm,014d59a0d7b143ba
