lattice,z,phi,phi_rel,filler,kappa,matrix,k_m,iface,R_s,d_um,alpha,alpha_N,a_K_um,a_um,gap_nn_um,gap_over_d,n_bonds,n_contact,frac_contact,k_net,k_nan,k_me,aniso,k_V1,k_V2,ratio_net,err_net,ratio_V1,err_V1,ratio_V2,err_V2,emt_scope,emt_scope_Rs_pos,engine_version,engine_variant,baseline_fp
SC,6,0.1,0.19098593171027445,AlN,170.0,high_k_resin,1.0,untreated,1.11e-07,1.0,170.0,0.222,0.111,1.7364656928926816,0.7364656928926816,0.7364656928926816,0,0,0.0,0.0,1.1680278552958345,1.3268858800773695,0.0,1.0,0.9,0.0,1.0,0.8561439656306168,0.1438560343693832,0.7705295690675551,0.2294704309324449,False,False,v4,holm,014d59a0d7b143ba
SC,6,0.1,0.19098593171027445,AlN,170.0,high_k_resin,1.0,untreated,1.11e-07,10.0,170.0,0.0222,0.111,17.364656928926816,7.3646569289268164,0.7364656928926816,0,0,0.0,0.0,1.3040495530144383,1.3268858800773695,0.0,1.0,0.9,0.0,1.0,0.7668420250506601,0.23315797494933987,0.6901578225455941,0.3098421774544059,False,False,v4,holm,014d59a0d7b143ba
SC,6,0.1,0.19098593171027445,AlN,170.0,high_k_resin,1.0,untreated,1.11e-07,100.0,170.0,0.00222,0.111,173.64656928926817,73.64656928926817,0.7364656928926817,0,0,0.0,0.0,1.3244977598030028,1.3268858800773695,0.0,1.0,0.9,0.0,1.0,0.7550031644815568,0.2449968355184432,0.6795028480334011,0.3204971519665989,False,False,v4,holm,014d59a0d7b143ba
SC,6,0.1,0.19098593171027445,AlN,170.0,high_k_resin,1.0,treated,3.8e-08,1.0,170.0,0.07600000000000001,0.038000000000000006,1.7364656928926816,0.7364656928926816,0.7364656928926816,0,0,0.0,0.0,1.2569471881996577,1.3268858800773695,0.0,1.0,0.9,0.0,1.0,0.7955783738474433,0.20442162615255666,0.716020536462699,0.28397946353730097,False,False,v4,holm,014d59a0d7b143ba
SC,6,0.1,0.19098593171027445,AlN,170.0,high_k_resin,1.0,treated,3.8e-08,10.0,170.0,0.007600000000000001,0.038000000000000006,17.364656928926816,7.3646569289268164,0.7364656928926816,0,0,0.0,0.0,1.318809833397967,1.3268858800773695,0.0,1.0,0.9,0.0,1.0,0.7582594356484736,0.24174056435152635,0.6824334920836262,0.31756650791637375,False,False,v4,holm,014d59a0d7b143ba
SC,6,0.1,0.19098593171027445,AlN,170.0,high_k_resin,1.0,treated,3.8e-08,100.0,170.0,0.0007600000000000002,0.038000000000000006,173.64656928926817,73.64656928926817,0.7364656928926817,0,0,0.0,0.0,1.3260655827600614,1.3268858800773695,0.0,1.0,0.9,0.0,1.0,0.7541105153476714,0.24588948465232863,0.6786994638129042,0.32130053618709575,False,False,v4,holm,014d59a0d7b143ba
SC,6,0.1,0.19098593171027445,Al2O3,30.0,epoxy,0.2,Rs0,0.0,1.0,150.0,0.0,0.0,1.7364656928926816,0.7364656928926816,0.7364656928926816,0,0,0.0,0.0,0.2652078774617068,0.26520787746170676,0.0,0.2,0.18000000000000002,0.0,1.0,0.7541254125412541,0.2458745874587459,0.6787128712871286,0.32128712871287135,False,False,v4,holm,014d59a0d7b143ba
SC,6,0.1,0.19098593171027445,Al2O3,30.0,epoxy,0.2,Rs0,0.0,10.0,150.0,0.0,0.0,17.364656928926816,7.3646569289268164,0.7364656928926816,0,0,0.0,0.0,0.2652078774617068,0.26520787746170676,0.0,0.2,0.18000000000000002,0.0,1.0,0.7541254125412541,0.2458745874587459,0.6787128712871286,0.32128712871287135,False,False,v4,holm,014d59a0d7b143ba
SC,6,0.1,0.19098593171027445,Al2O3,30.0,epoxy,0.2,Rs0,0.0,100.0,150.0,0.0,0.0,173.64656928926817,73.64656928926817,0.7364656928926817,0,0,0.0,0.0,0.2652078774617068,0.26520787746170676,0.0,0.2,0.18000000000000002,0.0,1.0,0.7541254125412541,0.2458745874587459,0.6787128712871286,0.32128712871287135,False,False,v4,holm,014d59a0d7b143ba
SC,6,0.1,0.19098593171027445,Al2O3,30.0,epoxy,0.2,untreated,1.11e-07,1.0,150.0,0.0444,0.0222,1.7364656928926816,0.7364656928926816,0.7364656928926816,0,0,0.0,0.0,0.2565267463563798,0.26520787746170676,0.0,0.2,0.18000000000000002,0.0,1.0,0.7796457985014553,0.22035420149854468,0.7016812186513098,0.29831878134869017,False,False,v4,holm,014d59a0d7b143ba
