u,v,P_share,g,branch,x_mid,y_mid,z_mid,family,d_um,seed,filler,matrix,treat,engine_version,engine_variant,baseline_fp
1552,1685,0.0029396215277222543,0.0009004507229218862,contact,176.27161542328855,187.74873298700697,256.1335918796428,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
741,971,0.002934219607861314,0.00048033702087875056,contact,262.12844081532995,163.32442934947898,39.655102634657325,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
723,1054,0.0028702131150184695,0.0008272023125391248,contact,174.40140213587833,230.27091591311233,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
77,102,0.0028642811900468595,0.002805662712968896,contact,39.65881592842815,150.53259183617536,61.592014086059194,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
102,883,0.002822938227282181,0.003944722960374303,contact,50.61134970610751,216.39805307116353,64.93181096335847,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
161,1396,0.002815962863835769,0.005054134493927194,contact,221.90304880211534,106.38190955459544,228.25401807616817,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1625,1655,0.0028126147128253766,0.0009481094396996423,contact,246.12028485604827,242.28682084719043,23.79528955705689,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
547,1359,0.0027993538500501076,0.0005939935466149774,contact,172.6969676250455,51.86973540230716,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
640,1641,0.0027865786465884473,0.00023504319974401822,contact,85.90139095962007,129.8733009532109,23.79528955705689,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
161,1614,0.0027687442915697333,0.00044866631140678145,contact,255.14425688906402,125.52317517171605,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
652,1930,0.002765797440152663,0.0035127354714551786,contact,39.65881592842815,91.74313243709548,174.6855028222456,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
608,868,0.002610830504045298,0.0005841322377256097,contact,130.91793557491448,106.18514553506931,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
144,1255,0.0025358192126872367,0.0004998340660586145,contact,23.79528955705689,86.92450039678295,254.18394435950853,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
868,1815,0.0025327200039634,0.000566652638755936,contact,137.39720152598892,73.72101143744182,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
868,1762,0.0025220228527106617,0.0005642628028099575,contact,129.80926187574437,76.1741710339621,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
623,1563,0.0024900921506766944,0.004141997091051524,contact,217.94808314066827,39.65881592842815,197.73098766913728,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1637,1685,0.0024709350865308303,0.0007566341590678956,contact,194.0196804294805,189.44130090688355,256.11361312216064,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1149,1591,0.0024523191348886342,0.0015416002422748009,contact,246.2649144439587,147.15714301288054,186.4057244766654,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
